match_id,year,round,round_name,date,venue,venue_state,venue_lat,venue_lon,hteam,ateam,hscore,ascore,winner,margin,is_final,is_grand_final
1065,2011,1,Round 1,2011-03-27,M.C.G.,VIC,-37.82,144.9834,Melbourne,Sydney,84,84,Draw,0,0,0
1066,2011,1,Round 1,2011-03-27,Subiaco,WA,-31.9442,115.8262,West Coast,North Melbourne,92,88,West Coast,4,0,0
1067,2011,2,Round 2,2011-04-01,M.C.G.,VIC,-37.82,144.9834,St Kilda,Richmond,95,95,Draw,0,0,0
1068,2011,2,Round 2,2011-04-02,Docklands,VIC,-37.8166,144.9474,North Melbourne,Collingwood,56,143,Collingwood,87,0,0
1079,2011,2,Round 2,2011-04-02,Football Park,SA,-34.8617,138.5564,Port Adelaide,West Coast,98,116,West Coast,18,0,0
1080,2011,2,Round 2,2011-04-02,Gabba,QLD,-27.4858,153.0381,Gold Coast,Carlton,52,171,Carlton,119,0,0
1081,2011,2,Round 2,2011-04-02,Subiaco,WA,-31.9442,115.8262,Fremantle,Geelong,78,89,Geelong,11,0,0
1082,2011,2,Round 2,2011-04-03,Docklands,VIC,-37.8166,144.9474,Western Bulldogs,Brisbane Lions,123,45,Western Bulldogs,78,0,0
1083,2011,2,Round 2,2011-04-03,Stadium Australia,NSW,-33.847,151.0633,Sydney,Essendon,98,93,Sydney,5,0,0
1084,2011,2,Round 2,2011-04-03,M.C.G.,VIC,-37.82,144.9834,Hawthorn,Melbourne,122,77,Hawthorn,45,0,0
1085,2011,3,Round 3,2011-04-08,M.C.G.,VIC,-37.82,144.9834,Collingwood,Carlton,102,74,Collingwood,28,0,0
1103,2011,3,Round 3,2011-04-09,Docklands,VIC,-37.8166,144.9474,Western Bulldogs,Gold Coast,122,51,Western Bulldogs,71,0,0
1104,2011,3,Round 3,2011-04-09,Football Park,SA,-34.8617,138.5564,Adelaide,Fremantle,54,79,Fremantle,25,0,0
1105,2011,3,Round 3,2011-04-09,M.C.G.,VIC,-37.82,144.9834,Richmond,Hawthorn,52,115,Hawthorn,63,0,0
1138,2011,3,Round 3,2011-04-09,Subiaco,WA,-31.9442,115.8262,West Coast,Sydney,88,101,Sydney,13,0,0
1139,2011,3,Round 3,2011-04-10,M.C.G.,VIC,-37.82,144.9834,Melbourne,Brisbane Lions,82,71,Melbourne,11,0,0
1140,2011,3,Round 3,2011-04-10,GMHBA Stadium,VIC,-38.1581,144.3544,Geelong,Port Adelaide,122,43,Geelong,79,0,0
1141,2011,3,Round 3,2011-04-10,Docklands,VIC,-37.8166,144.9474,St Kilda,Essendon,84,136,Essendon,52,0,0
1142,2011,4,Round 4,2011-04-15,M.C.G.,VIC,-37.82,144.9834,Richmond,Collingwood,90,161,Collingwood,71,0,0
1144,2011,4,Round 4,2011-04-16,M.C.G.,VIC,-37.82,144.9834,Carlton,Essendon,79,79,Draw,0,0,0
1143,2011,4,Round 4,2011-04-16,University of Tasmania Stadium,TAS,-41.4257,147.138,Hawthorn,West Coast,72,65,Hawthorn,7,0,0
1145,2011,4,Round 4,2011-04-16,S.C.G.,NSW,-33.8917,151.2244,Sydney,Geelong,54,81,Geelong,27,0,0
1150,2011,4,Round 4,2011-04-16,Football Park,SA,-34.8617,138.5564,Port Adelaide,Adelaide,98,66,Port Adelaide,32,0,0
1151,2011,4,Round 4,2011-04-17,Gabba,QLD,-27.4858,153.0381,Gold Coast,Melbourne,69,159,Melbourne,90,0,0
1152,2011,4,Round 4,2011-04-17,Subiaco,WA,-31.9442,115.8262,Fremantle,North Melbourne,127,98,Fremantle,29,0,0
1153,2011,5,Round 5,2011-04-21,Gabba,QLD,-27.4858,153.0381,Brisbane Lions,St Kilda,76,89,St Kilda,13,0,0
1154,2011,5,Round 5,2011-04-23,Football Park,SA,-34.8617,138.5564,Port Adelaide,Gold Coast,101,104,Gold Coast,3,0,0
1155,2011,5,Round 5,2011-04-23,Docklands,VIC,-37.8166,144.9474,Carlton,Adelaide,85,79,Carlton,6,0,0
1156,2011,5,Round 5,2011-04-24,Docklands,VIC,-37.8166,144.9474,North Melbourne,Richmond,103,112,Richmond,9,0,0
1157,2011,5,Round 5,2011-04-25,M.C.G.,VIC,-37.82,144.9834,Essendon,Collingwood,77,107,Collingwood,30,0,0
1158,2011,5,Round 5,2011-04-25,Subiaco,WA,-31.9442,115.8262,Fremantle,Western Bulldogs,85,78,Fremantle,7,0,0
1159,2011,5,Round 5,2011-04-26,M.C.G.,VIC,-37.82,144.9834,Hawthorn,Geelong,98,117,Geelong,19,0,0
1160,2011,6,Round 6,2011-04-28,Subiaco,WA,-31.9442,115.8262,West Coast,Melbourne,106,52,West Coast,54,0,0
1161,2011,6,Round 6,2011-04-29,S.C.G.,NSW,-33.8917,151.2244,Sydney,Carlton,71,87,Carlton,16,0,0
1162,2011,6,Round 6,2011-04-30,Docklands,VIC,-37.8166,144.9474,North Melbourne,Port Adelaide,133,73,North Melbourne,60,0,0
1163,2011,6,Round 6,2011-04-30,M.C.G.,VIC,-37.82,144.9834,Richmond,Brisbane Lions,124,98,Richmond,26,0,0
1164,2011,6,Round 6,2011-04-30,Football Park,SA,-34.8617,138.5564,Adelaide,St Kilda,90,71,Adelaide,19,0,0
1165,2011,6,Round 6,2011-05-01,Docklands,VIC,-37.8166,144.9474,Essendon,Gold Coast,197,58,Essendon,139,0,0
1179,2011,6,Round 6,2011-05-01,M.C.G.,VIC,-37.82,144.9834,Collingwood,Western Bulldogs,105,57,Collingwood,48,0,0
1180,2011,7,Round 7,2011-05-06,Football Park,SA,-34.8617,138.5564,Port Adelaide,Hawthorn,72,104,Hawthorn,32,0,0
1181,2011,7,Round 7,2011-05-07,UNSW Canberra Oval,ACT,-35.2935,149.1659,Western Bulldogs,Sydney,65,73,Sydney,8,0,0
1182,2011,7,Round 7,2011-05-07,GMHBA Stadium,VIC,-38.1581,144.3544,Geelong,North Melbourne,127,61,Geelong,66,0,0
1183,2011,7,Round 7,2011-05-07,M.C.G.,VIC,-37.82,144.9834,Richmond,Fremantle,148,99,Richmond,49,0,0
1184,2011,7,Round 7,2011-05-07,Gabba,QLD,-27.4858,153.0381,Gold Coast,Brisbane Lions,124,116,Gold Coast,8,0,0
1185,2011,7,Round 7,2011-05-08,Docklands,VIC,-37.8166,144.9474,Essendon,West Coast,106,90,Essendon,16,0,0
1193,2011,7,Round 7,2011-05-08,M.C.G.,VIC,-37.82,144.9834,Melbourne,Adelaide,149,53,Melbourne,96,0,0
1194,2011,7,Round 7,2011-05-09,Docklands,VIC,-37.8166,144.9474,St Kilda,Carlton,81,84,Carlton,3,0,0
1195,2011,8,Round 8,2011-05-13,M.C.G.,VIC,-37.82,144.9834,Geelong,Collingwood,65,62,Geelong,3,0,0
1196,2011,8,Round 8,2011-05-14,Docklands,VIC,-37.8166,144.9474,North Melbourne,Melbourne,124,83,North Melbourne,41,0,0
1197,2011,8,Round 8,2011-05-14,Football Park,SA,-34.8617,138.5564,Adelaide,Gold Coast,130,73,Adelaide,57,0,0
1198,2011,8,Round 8,2011-05-14,Gabba,QLD,-27.4858,153.0381,Brisbane Lions,Essendon,66,102,Essendon,36,0,0
1199,2011,8,Round 8,2011-05-14,S.C.G.,NSW,-33.8917,151.2244,Sydney,Port Adelaide,121,59,Sydney,62,0,0
1200,2011,8,Round 8,2011-05-15,M.C.G.,VIC,-37.82,144.9834,Hawthorn,St Kilda,99,69,Hawthorn,30,0,0
1201,2011,8,Round 8,2011-05-15,Docklands,VIC,-37.8166,144.9474,Western Bulldogs,Richmond,153,118,Western Bulldogs,35,0,0
1202,2011,8,Round 8,2011-05-15,Subiaco,WA,-31.9442,115.8262,West Coast,Fremantle,96,63,West Coast,33,0,0
1203,2011,9,Round 9,2011-05-20,Docklands,VIC,-37.8166,144.9474,Carlton,Geelong,100,102,Geelong,2,0,0
1204,2011,9,Round 9,2011-05-21,Docklands,VIC,-37.8166,144.9474,St Kilda,Melbourne,106,86,St Kilda,20,0,0
1205,2011,9,Round 9,2011-05-21,Football Park,SA,-34.8617,138.5564,Port Adelaide,Fremantle,90,142,Fremantle,52,0,0
1217,2011,9,Round 9,2011-05-21,Gabba,QLD,-27.4858,153.0381,Brisbane Lions,North Melbourne,73,59,Brisbane Lions,14,0,0
1218,2011,9,Round 9,2011-05-21,M.C.G.,VIC,-37.82,144.9834,Richmond,Essendon,105,89,Richmond,16,0,0
1219,2011,9,Round 9,2011-05-22,Docklands,VIC,-37.8166,144.9474,Collingwood,Adelaide,135,92,Collingwood,43,0,0
1220,2011,9,Round 9,2011-05-22,S.C.G.,NSW,-33.8917,151.2244,Sydney,Hawthorn,60,106,Hawthorn,46,0,0
1221,2011,9,Round 9,2011-05-22,Subiaco,WA,-31.9442,115.8262,West Coast,Western Bulldogs,175,52,West Coast,123,0,0
1222,2011,10,Round 10,2011-05-27,M.C.G.,VIC,-37.82,144.9834,Melbourne,Carlton,46,93,Carlton,47,0,0
1223,2011,10,Round 10,2011-05-28,Docklands,VIC,-37.8166,144.9474,North Melbourne,Sydney,71,72,Sydney,1,0,0
1224,2011,10,Round 10,2011-05-28,Subiaco,WA,-31.9442,115.8262,Fremantle,St Kilda,56,102,St Kilda,46,0,0
1225,2011,10,Round 10,2011-05-28,Carrara,QLD,-28.0067,153.3672,Gold Coast,Geelong,73,139,Geelong,66,0,0
1237,2011,10,Round 10,2011-05-28,Marrara Oval,NT,-12.399,130.887,Richmond,Port Adelaide,74,89,Port Adelaide,15,0,0
1238,2011,10,Round 10,2011-05-29,Football Park,SA,-34.8617,138.5564,Adelaide,Brisbane Lions,61,101,Brisbane Lions,40,0,0
1239,2011,10,Round 10,2011-05-29,M.C.G.,VIC,-37.82,144.9834,Collingwood,West Coast,105,53,Collingwood,52,0,0
1240,2011,10,Round 10,2011-05-29,Docklands,VIC,-37.8166,144.9474,Western Bulldogs,Hawthorn,62,91,Hawthorn,29,0,0
1241,2011,11,Round 11,2011-06-03,M.C.G.,VIC,-37.82,144.9834,Essendon,Melbourne,68,101,Melbourne,33,0,0
1242,2011,11,Round 11,2011-06-04,GMHBA Stadium,VIC,-38.1581,144.3544,Geelong,Western Bulldogs,148,87,Geelong,61,0,0
1243,2011,11,Round 11,2011-06-04,Subiaco,WA,-31.9442,115.8262,West Coast,Gold Coast,85,67,West Coast,18,0,0
1244,2011,11,Round 11,2011-06-04,M.C.G.,VIC,-37.82,144.9834,Collingwood,St Kilda,108,51,Collingwood,57,0,0
1245,2011,11,Round 11,2011-06-04,Gabba,QLD,-27.4858,153.0381,Brisbane Lions,Sydney,51,116,Sydney,65,0,0
1251,2011,11,Round 11,2011-06-05,M.C.G.,VIC,-37.82,144.9834,Hawthorn,Fremantle,111,89,Hawthorn,22,0,0
1252,2011,11,Round 11,2011-06-05,Docklands,VIC,-37.8166,144.9474,North Melbourne,Adelaide,115,68,North Melbourne,47,0,0
1253,2011,11,Round 11,2011-06-05,Football Park,SA,-34.8617,138.5564,Port Adelaide,Carlton,49,111,Carlton,62,0,0
1254,2011,12,Round 12,2011-06-10,Docklands,VIC,-37.8166,144.9474,St Kilda,Western Bulldogs,81,57,St Kilda,24,0,0
1255,2011,12,Round 12,2011-06-11,Football Park,SA,-34.8617,138.5564,Adelaide,West Coast,67,106,West Coast,39,0,0
1257,2011,12,Round 12,2011-06-11,M.C.G.,VIC,-37.82,144.9834,Geelong,Hawthorn,88,83,Geelong,5,0,0
1256,2011,12,Round 12,2011-06-11,Carrara,QLD,-28.0067,153.3672,Gold Coast,North Melbourne,63,122,North Melbourne,59,0,0
1258,2011,12,Round 12,2011-06-12,Docklands,VIC,-37.8166,144.9474,Carlton,Brisbane Lions,124,63,Carlton,61,0,0
1259,2011,12,Round 12,2011-06-12,S.C.G.,NSW,-33.8917,151.2244,Sydney,Richmond,75,65,Sydney,10,0,0
1260,2011,12,Round 12,2011-06-12,Subiaco,WA,-31.9442,115.8262,Fremantle,Essendon,98,64,Fremantle,34,0,0
1261,2011,12,Round 12,2011-06-13,M.C.G.,VIC,-37.82,144.9834,Melbourne,Collingwood,41,129,Collingwood,88,0,0
